Freq.	(V(v)/(-V(I)))*1000
1.65958690743755e+03	(6.00086155271973e+01dB,7.29999871917464e-02°)
1.69824365246173e+03	(6.00086163811564e+01dB,7.47003627656743e-02°)
1.73780082874936e+03	(6.00086172753613e+01dB,7.64403442757208e-02°)
1.77827941003891e+03	(6.00086182117081e+01dB,7.82208541988414e-02°)
1.81970085860997e+03	(6.00086191921839e+01dB,8.00428364947605e-02°)
1.86208713666285e+03	(6.00086202188660e+01dB,8.19072571049291e-02°)
1.90546071796323e+03	(6.00086212939351e+01dB,8.38151044646942e-02°)
1.94984459975803e+03	(6.00086224196691e+01dB,8.57673900285005e-02°)
1.99526231496887e+03	(6.00086235984570e+01dB,8.77651488056806e-02°)
2.04173794466951e+03	(6.00086248327980e+01dB,8.98094399050277e-02°)
2.08929613085402e+03	(6.00086261253119e+01dB,9.19013470999301e-02°)
2.13796208950222e+03	(6.00086274787387e+01dB,9.40419793991814e-02°)
2.18776162394954e+03	(6.00086288959492e+01dB,9.62324716378941e-02°)
2.23872113856832e+03	(6.00086303799506e+01dB,9.84739850735781e-02°)
2.29086765276776e+03	(6.00086319338883e+01dB,1.00767708006395e-01°)
2.34422881531990e+03	(6.00086335610607e+01dB,1.03114856404011e-01°)
2.39883291901947e+03	(6.00086352649171e+01dB,1.05516674546988e-01°)
2.45470891568501e+03	(6.00086370490724e+01dB,1.07974435689614e-01°)
2.51188643150956e+03	(6.00086389173110e+01dB,1.10489442729523e-01°)
2.57039578276884e+03	(6.00086408735942e+01dB,1.13063028901945e-01°)
2.63026799189536e+03	(6.00086429220728e+01dB,1.15696558480181e-01°)
2.69153480392690e+03	(6.00086450670909e+01dB,1.18391427505052e-01°)
2.75422870333815e+03	(6.00086473131981e+01dB,1.21149064515860e-01°)
2.81838293126443e+03	(6.00086496651576e+01dB,1.23970931310972e-01°)
2.88403150312658e+03	(6.00086521279590e+01dB,1.26858523721074e-01°)
2.95120922666636e+03	(6.00086547068249e+01dB,1.29813372397496e-01°)
3.01995172040199e+03	(6.00086574072261e+01dB,1.32837043625494e-01°)
3.09029543251357e+03	(6.00086602348885e+01dB,1.35931140150423e-01°)
3.16227766016835e+03	(6.00086631958107e+01dB,1.39097302028790e-01°)
3.23593656929626e+03	(6.00086662962719e+01dB,1.42337207489185e-01°)
3.31131121482588e+03	(6.00086695428481e+01dB,1.45652573825737e-01°)
3.38844156139200e+03	(6.00086729424246e+01dB,1.49045158304159e-01°)
3.46736850452529e+03	(6.00086765022117e+01dB,1.52516759089378e-01°)
3.54813389233573e+03	(6.00086802297593e+01dB,1.56069216196705e-01°)
3.63078054770098e+03	(6.00086841329734e+01dB,1.59704412465850e-01°)
3.71535229097170e+03	(6.00086882201320e+01dB,1.63424274551489e-01°)
3.80189396320558e+03	(6.00086924999038e+01dB,1.67230773947801e-01°)
3.89045144994277e+03	(6.00086969813645e+01dB,1.71125928023428e-01°)
3.98107170553494e+03	(6.00087016740184e+01dB,1.75111801089985e-01°)
4.07380277804109e+03	(6.00087065878177e+01dB,1.79190505491711e-01°)
4.16869383470332e+03	(6.00087117331852e+01dB,1.83364202720783e-01°)
4.26579518801589e+03	(6.00087171210308e+01dB,1.87635104556805e-01°)
4.36515832240162e+03	(6.00087227627819e+01dB,1.92005474236398e-01°)
4.46683592150959e+03	(6.00087286704034e+01dB,1.96477627643854e-01°)
4.57088189614871e+03	(6.00087348564231e+01dB,2.01053934535429e-01°)
4.67735141287194e+03	(6.00087413339595e+01dB,2.05736819789186e-01°)
4.78630092322634e+03	(6.00087481167497e+01dB,2.10528764680503e-01°)
4.89778819368442e+03	(6.00087552191779e+01dB,2.15432308192419e-01°)
5.01187233627268e+03	(6.00087626563048e+01dB,2.20450048353340e-01°)
5.12861383991361e+03	(6.00087704439031e+01dB,2.25584643601604e-01°)
5.24807460249768e+03	(6.00087785984849e+01dB,2.30838814190027e-01°)
5.37031796370248e+03	(6.00087871373445e+01dB,2.36215343617727e-01°)
5.49540873857620e+03	(6.00087960785875e+01dB,2.41717080092162e-01°)
5.62341325190344e+03	(6.00088054411745e+01dB,2.47346938026598e-01°)
5.75439937337152e+03	(6.00088152449581e+01dB,2.53107899579462e-01°)
5.88843655355584e+03	(6.00088255107257e+01dB,2.59003016210637e-01°)
6.02559586074353e+03	(6.00088362602476e+01dB,2.65035410294593e-01°)
